sentence,entities
"I'm at 995 SOUTHGATE  STREET, Vermont.","[(11, 28, 'STREET_NAME'), (30, 37, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to go to Auburn.,"[(16, 22, 'SUBURB')]"
I am currently at 437 GLADSTONE  PL.,"[(22, 35, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I’m at 914 NEPTUNE  ST.,"[(11, 22, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to go to Altona Meadows.,"[(16, 30, 'SUBURB')]"
Where is 540 ULSTER  LANE located?,"[(13, 25, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to go to Springvale.,"[(16, 26, 'SUBURB')]"
I am trying to reach FAIRLIE  COURT.,"[(21, 35, 'STREET_NAME')]"
I'm on PL5374 in Ashwood.,"[(7, 13, 'STREET_NAME'), (17, 24, 'SUBURB')]"
I need to get to 27 CL1657.,"[(20, 26, 'STREET_NAME'), (17, 19, 'STREET_NUMBER')]"
I need to get here: 892 EMU  LANE.,"[(24, 33, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on CL1224.","[(19, 25, 'STREET_NAME')]"
I am here in St Kilda.,"[(13, 21, 'SUBURB')]"
I need to get here: 49 BALSTON  STREET.,"[(23, 38, 'STREET_NAME'), (20, 22, 'STREET_NUMBER')]"
How do I get to 194 PLANE  TREE  WAY?,"[(20, 36, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I'm heading towards 456 McCRACKEN  STREET in Gowanbrae.,"[(24, 41, 'STREET_NAME'), (45, 54, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get to 637 CL1468.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to get to 526 TAVISTOCK  PLACE.,"[(21, 37, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Currently, I am on RALSTON  ST.","[(19, 30, 'STREET_NAME')]"
I am here in Frankston South.,"[(13, 28, 'SUBURB')]"
I need to go to Mitcham.,"[(16, 23, 'SUBURB')]"
How do I get to 895 PL5204?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am trying to reach MONAHAN  LANE.,"[(21, 34, 'STREET_NAME')]"
I need to get here: 541 PL5152.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need directions to DOW  ST in Canterbury.,"[(21, 28, 'STREET_NAME'), (32, 42, 'SUBURB')]"
I am at 881 DANAHER  LANE in Williamstown North.,"[(12, 25, 'STREET_NAME'), (29, 47, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need directions to GUILDFORD  LANE in Cranbourne North.,"[(21, 36, 'STREET_NAME'), (40, 56, 'SUBURB')]"
I am here at 24 GREVILLE  ST.,"[(16, 28, 'STREET_NAME'), (13, 15, 'STREET_NUMBER')]"
Where is 915 CL0180 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am currently at 729 DALGETY  PLACE.,"[(22, 36, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"Currently, I am on FREEMAN  ST.","[(19, 30, 'STREET_NAME')]"
I'm on HUDSON  PLACE in Ardeer.,"[(7, 20, 'STREET_NAME'), (24, 30, 'SUBURB')]"
I need to get to 256 CANADA  LANE.,"[(21, 33, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
Where is 182 PEARSON  PLACE located?,"[(13, 27, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need directions to CL0405 in Tottenham.,"[(21, 27, 'STREET_NAME'), (31, 40, 'SUBURB')]"
I'm heading towards 185 BUNBURY  ST in Wantirna.,"[(24, 35, 'STREET_NAME'), (39, 47, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I’m at 28 EADES  PLACE.,"[(10, 22, 'STREET_NAME'), (7, 9, 'STREET_NUMBER')]"
I am at 244 HOPETOUN  STREET in Seabrook.,"[(12, 28, 'STREET_NAME'), (32, 40, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need to get to 346 BAYLES  STREET.,"[(21, 35, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Currently, I am on SPENCER  STREET  BRIDGE  FOOTBRIDGE.","[(19, 54, 'STREET_NAME')]"
I’m at 774 FALSHAWS  LANE.,"[(11, 25, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 997 SIMPSON  WALK, Lalor?","[(24, 37, 'STREET_NAME'), (39, 44, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here in Greenvale.,"[(13, 22, 'SUBURB')]"
I need directions to ALBERT  LANE in Footscray.,"[(21, 33, 'STREET_NAME'), (37, 46, 'SUBURB')]"
I need to get here: 915 NEWMAN  STREET.,"[(24, 38, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here at 711 CL1154.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am at 661 CL1060 in Rowville.,"[(12, 18, 'STREET_NAME'), (22, 30, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am at 250 PL5388 in Burwood East.,"[(12, 18, 'STREET_NAME'), (22, 34, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"Currently, I am on HAROLD  ST.","[(19, 29, 'STREET_NAME')]"
I am currently at 534 WEBB  DOCK  DRIVE.,"[(22, 39, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am at 475 LA TROBE  PLACE in Kingsville.,"[(12, 27, 'STREET_NAME'), (31, 41, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need directions to PL5001 in Kalorama.,"[(21, 27, 'STREET_NAME'), (31, 39, 'SUBURB')]"
I am here at 158 WATT LANE.,"[(17, 26, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get here: 881 HAYMARKET  WALK.,"[(24, 39, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am at 860 WOOD  STREET in Viewbank.,"[(12, 24, 'STREET_NAME'), (28, 36, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I'm on PARK  GROVE in Coburg North.,"[(7, 18, 'STREET_NAME'), (22, 34, 'SUBURB')]"
I am trying to reach BOWEN  CRESCENT.,"[(21, 36, 'STREET_NAME')]"
"Can you guide me to 76 OLYMPIC  BOULEVARD, Brookfield?","[(23, 41, 'STREET_NAME'), (43, 53, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
How do I get to 892 HODDLE  BRIDGE?,"[(20, 34, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
"Currently, I am on CL1116.","[(19, 25, 'STREET_NAME')]"
I need to get to 723 RED CAPE LANE.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"I'm at 732 DOMAIN  RD, McKinnon.","[(11, 21, 'STREET_NAME'), (23, 31, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"I'm at 183 PL5015, Lynbrook.","[(11, 17, 'STREET_NAME'), (19, 27, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
How do I get to 939 LINDSAY  LANE?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I’m at 559 GRANT  STREET.,"[(11, 24, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 39 MYRTLE  ST, Mornington?","[(23, 33, 'STREET_NAME'), (35, 45, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
I am here at 523 CL0526.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I'm on HOLMWOOD  PLACE in Southbank.,"[(7, 22, 'STREET_NAME'), (26, 35, 'SUBURB')]"
I am at 705 BRABHAM  LANE in Ashwood.,"[(12, 25, 'STREET_NAME'), (29, 36, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"Can you guide me to 213 JOHNSTON   ST, Box Hill North?","[(24, 37, 'STREET_NAME'), (39, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"I'm at 909 TOORAK   ROAD, Heidelberg West.","[(11, 24, 'STREET_NAME'), (26, 41, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am at 867 CL1021 in Clayton.,"[(12, 18, 'STREET_NAME'), (22, 29, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"Currently, I am on MOYLANS  LANE.","[(19, 32, 'STREET_NAME')]"
I need to get to 866 ALSOP  LANE.,"[(21, 32, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm heading towards 465 COVENTRY  ST in Aspendale.,"[(24, 36, 'STREET_NAME'), (40, 49, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I’m at 130 CL122.,"[(11, 16, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I'm on HOFF  BOULEVARD in Keilor Downs.,"[(7, 22, 'STREET_NAME'), (26, 38, 'SUBURB')]"
How do I get to 344 RIVER  ESPLANADE?,"[(20, 36, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
How do I get to 611 GEORGE  LA?,"[(20, 30, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
"I'm at 548 FRESHWATER  PLACE, Sassafras.","[(11, 28, 'STREET_NAME'), (30, 39, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am here at 745 NORMANBY  RD.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am here in Springvale South.,"[(13, 29, 'SUBURB')]"
I'm on CONCOURSE - STATION WALKWAY in Mitcham.,"[(7, 34, 'STREET_NAME'), (38, 45, 'SUBURB')]"
"I'm at 602 WELLS ST, Clifton Hill.","[(11, 19, 'STREET_NAME'), (21, 33, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
How do I get to 439 PL5028?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
"Currently, I am on SM0477.","[(19, 25, 'STREET_NAME')]"
"Currently, I am on CAIRNCROSS  LANE.","[(19, 35, 'STREET_NAME')]"
I am at 778 CL1481 in Wonga Park.,"[(12, 18, 'STREET_NAME'), (22, 32, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I'm on N  PL in Kew East.,"[(7, 12, 'STREET_NAME'), (16, 24, 'SUBURB')]"
Where is 463 FRANCIS  ST located?,"[(13, 24, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am trying to reach ALBERT  RD.,"[(21, 31, 'STREET_NAME')]"
I need directions to HAYWARD  LANE in Chelsea.,"[(21, 34, 'STREET_NAME'), (38, 45, 'SUBURB')]"
I need to go to Heidelberg.,"[(16, 26, 'SUBURB')]"
"Currently, I am on RYANS  LANE.","[(19, 30, 'STREET_NAME')]"
I’m at 728 MOYLAN  LANE.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get to 298 EXPORT  LANE.,"[(21, 33, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am currently at 379 MANTON  LANE.,"[(22, 34, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
How do I get to 938 HOTHAM  PLACE?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to get here: 101 BYRON  STREET.,"[(24, 37, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need directions to BLAIR  PLACE in Kings Park.,"[(21, 33, 'STREET_NAME'), (37, 47, 'SUBURB')]"
I'm on CL1653 in Gardenvale.,"[(7, 13, 'STREET_NAME'), (17, 27, 'SUBURB')]"
I am here at 392 GREY  STREET.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am currently at 653 O'GRADY  ST.,"[(22, 33, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"Currently, I am on CLARKES  LANE.","[(19, 32, 'STREET_NAME')]"
"I'm at 933 MOUNTAIN  ST, West Footscray.","[(11, 23, 'STREET_NAME'), (25, 39, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"I'm at 990 CL1620, The Basin.","[(11, 17, 'STREET_NAME'), (19, 28, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
How do I get to 477 PL5060?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am here at 90 WOLSELEY  PARADE.,"[(16, 32, 'STREET_NAME'), (13, 15, 'STREET_NUMBER')]"
"Can you guide me to 633 COATES  LANE, Chirnside Park?","[(24, 36, 'STREET_NAME'), (38, 52, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"I'm at 54 CREMORNE  ST, Ivanhoe.","[(10, 22, 'STREET_NAME'), (24, 31, 'SUBURB'), (7, 9, 'STREET_NUMBER')]"
I need to get to 665 PL5098.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"I'm at 541 PL5146, Narre Warren North.","[(11, 17, 'STREET_NAME'), (19, 37, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I’m at 419 MICHAEL  LANE.,"[(11, 24, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am at 811 MARKET  LANE in Altona North.,"[(12, 24, 'STREET_NAME'), (28, 40, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am at 49 WELLS  STREET in Hoppers Crossing.,"[(11, 24, 'STREET_NAME'), (28, 44, 'SUBURB'), (8, 10, 'STREET_NUMBER')]"
I am at 567 AUSTRAL  LANE in Guys Hill.,"[(12, 25, 'STREET_NAME'), (29, 38, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"Can you guide me to 393 WELCH  PLACE, Houston?","[(24, 36, 'STREET_NAME'), (38, 45, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am trying to reach CL1734.,"[(21, 27, 'STREET_NAME')]"
"I'm at 443 ESPLANADE  WEST, Heidelberg Heights.","[(11, 26, 'STREET_NAME'), (28, 46, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
How do I get to 182 MCLEAN  ALLEY?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am at 977 WILLIAM CROOK  PLACE in Werribee South.,"[(12, 32, 'STREET_NAME'), (36, 50, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I'm on MACARTHUR  PLACE NORTH in Olinda.,"[(7, 29, 'STREET_NAME'), (33, 39, 'SUBURB')]"
How do I get to 244 REYNOLDS  STREET?,"[(20, 36, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
"Currently, I am on DAVIS  AV.","[(19, 28, 'STREET_NAME')]"
"I'm at 617 CL1403, McKinnon.","[(11, 17, 'STREET_NAME'), (19, 27, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 981 PL5063.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need to get here: 56 CL1260.,"[(23, 29, 'STREET_NAME'), (20, 22, 'STREET_NUMBER')]"
Where is 984 MAGNUS  LANE located?,"[(13, 25, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to get to 471 PL5002.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am here at 677 ALEXANDRA  PDE.,"[(17, 31, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Can you guide me to 82 EADES  PLACE, Greenvale Lakes?","[(23, 35, 'STREET_NAME'), (37, 52, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
I am here at 664 REGATTA  WAY.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am trying to reach CL138.,"[(21, 26, 'STREET_NAME')]"
I am currently at 234 CL1285.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I'm on CL1098 in Derrimut.,"[(7, 13, 'STREET_NAME'), (17, 25, 'SUBURB')]"
I need directions to GATEHOUSE  STREET in Frankston.,"[(21, 38, 'STREET_NAME'), (42, 51, 'SUBURB')]"
I am here in Tecoma.,"[(13, 19, 'SUBURB')]"
I’m at 767 BRIDPORT ST  WEST.,"[(11, 28, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 43 KINGS  BRIDGE.,"[(23, 36, 'STREET_NAME'), (20, 22, 'STREET_NUMBER')]"
I am here in Noble Park North.,"[(13, 29, 'SUBURB')]"
I’m at 111 GLENCOE  PLACE.,"[(11, 25, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get to 848 FAIRLIE  COURT.,"[(21, 35, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm heading towards 975 THOMSON  STREET in Werribee South.,"[(24, 39, 'STREET_NAME'), (43, 57, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 719 FISKEN  PLACE in Docklands.,"[(24, 37, 'STREET_NAME'), (41, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am at 720 MAYFIELD  PLACE in Preston.,"[(12, 27, 'STREET_NAME'), (31, 38, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am here at 509 NORMANBY  RD.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to go to Seabrook.,"[(16, 24, 'SUBURB')]"
"I'm at 566 PT5083, Moonee Ponds.","[(11, 17, 'STREET_NAME'), (19, 31, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am currently at 654 BRIGHTSIDE  PLACE.,"[(22, 39, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need directions to CL1393 in Cairnlea.,"[(21, 27, 'STREET_NAME'), (31, 39, 'SUBURB')]"
"Currently, I am on CL1126.","[(19, 25, 'STREET_NAME')]"
I need to get here: 655 PL5056.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 213 CL1226 in Ashburton.,"[(24, 30, 'STREET_NAME'), (34, 43, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"I'm at 368 ROSHERVILLE  PL, Glen Waverley.","[(11, 26, 'STREET_NAME'), (28, 41, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I’m at 263 HOLGATE  LANE.,"[(11, 24, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
How do I get to 610 WADEY  STREET?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to get here: 226 LYGON  LANE.,"[(24, 35, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need directions to INGLES  STREET in Bonbeach.,"[(21, 35, 'STREET_NAME'), (39, 47, 'SUBURB')]"
How do I get to 248 PL5010?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need directions to LEVESON STREET in Blairgowrie.,"[(21, 35, 'STREET_NAME'), (39, 50, 'SUBURB')]"
"Can you guide me to 951 DURHAM  STREET, Portsea?","[(24, 38, 'STREET_NAME'), (40, 47, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am trying to reach CL0480.,"[(21, 27, 'STREET_NAME')]"
Where is 740 MANSION HOUSE  LANE located?,"[(13, 32, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am here at 611 WILLIAM  LONSDALE  LANE.,"[(17, 40, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Can you guide me to 491 FLEMINGTON RACECOURSE AND SHOWGROUNDS RAILWAY, Donvale?","[(24, 69, 'STREET_NAME'), (71, 78, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 226 PL5289?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am here at 476 BRUCE  STREET.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need directions to SIMS  SQUARE in Altona North.,"[(21, 33, 'STREET_NAME'), (37, 49, 'SUBURB')]"
I need directions to PL5328 in Cranbourne West.,"[(21, 27, 'STREET_NAME'), (31, 46, 'SUBURB')]"
I'm heading towards 933 VICTORIA  PARADE in St Kilda West.,"[(24, 40, 'STREET_NAME'), (44, 57, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
Where is 353 FRANKLIN  PLACE located?,"[(13, 28, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to get here: 990 THE AVENUE.,"[(24, 34, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am at 447 CL1229 in Warrandyte.,"[(12, 18, 'STREET_NAME'), (22, 32, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
How do I get to 712 MITRE  LANE?,"[(20, 31, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need directions to CYPRESS  DRIVE in Lower Plenty.,"[(21, 35, 'STREET_NAME'), (39, 51, 'SUBURB')]"
"I'm at 397 CL0493, Airport West.","[(11, 17, 'STREET_NAME'), (19, 31, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I'm heading towards 220 POST  OFFICE  PLACE in Templestowe Lower.,"[(24, 43, 'STREET_NAME'), (47, 64, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
Where is 675 PALMYRA  WAY located?,"[(13, 25, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to go to Elwood.,"[(16, 22, 'SUBURB')]"
I am currently at 904 JIKA  PL.,"[(22, 30, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need to get to 485 CL1035.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm heading towards 905 RUPERT  ST in Kingsbury.,"[(24, 34, 'STREET_NAME'), (38, 47, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 976 STURT  ST in Kilsyth South.,"[(24, 33, 'STREET_NAME'), (37, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm on PL5349 in Sunshine West.,"[(7, 13, 'STREET_NAME'), (17, 30, 'SUBURB')]"
I am here at 355 TYRONE  PLACE.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get to 488 BURCHETT  LANE.,"[(21, 35, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Currently, I am on SM0243.","[(19, 25, 'STREET_NAME')]"
I need to go to Tremont.,"[(16, 23, 'SUBURB')]"
I’m at 105 WILLIAMSTOWN  RD.,"[(11, 27, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
Where is 875 QUEENS  LA located?,"[(13, 23, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I'm on PL5261 in Moonee Ponds.,"[(7, 13, 'STREET_NAME'), (17, 29, 'SUBURB')]"
I need directions to HEATH  ST in Mount Martha.,"[(21, 30, 'STREET_NAME'), (34, 46, 'SUBURB')]"
I am currently at 691 BANK  LANE.,"[(22, 32, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"Can you guide me to 586 RIVER  ESPLANADE, Mickleham?","[(24, 40, 'STREET_NAME'), (42, 51, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here in Prahran.,"[(13, 20, 'SUBURB')]"
I am at 310 MARMION  PLACE in Oakleigh.,"[(12, 26, 'STREET_NAME'), (30, 38, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I’m at 406 CHALLIS  LANE.,"[(11, 24, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here in Keilor.,"[(13, 19, 'SUBURB')]"
"Currently, I am on MERCANTILE  PARADE.","[(19, 37, 'STREET_NAME')]"
"Currently, I am on PL5148.","[(19, 25, 'STREET_NAME')]"
"Currently, I am on CULLENS  LANE.","[(19, 32, 'STREET_NAME')]"
I need directions to LITTLE  COLLINS  STREET in Burwood.,"[(21, 44, 'STREET_NAME'), (48, 55, 'SUBURB')]"
"I'm at 123 BRUCE  STREET, Moorooduc.","[(11, 24, 'STREET_NAME'), (26, 35, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
How do I get to 202 JOHNSTON   ST?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I'm on CL1643 in Derrimut.,"[(7, 13, 'STREET_NAME'), (17, 25, 'SUBURB')]"
I'm heading towards 238 PORTAL  LANE in Eltham North.,"[(24, 36, 'STREET_NAME'), (40, 52, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on CL1206.","[(19, 25, 'STREET_NAME')]"
"Currently, I am on PL5272.","[(19, 25, 'STREET_NAME')]"
I'm on PL5226 in Oak Park.,"[(7, 13, 'STREET_NAME'), (17, 25, 'SUBURB')]"
I am currently at 489 CL1246.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"Currently, I am on INGLES  STREET.","[(19, 33, 'STREET_NAME')]"
I’m at 198 PINKYS  LANE.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here at 747 PL5038.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I'm on MELROSE  LANE in Kew.,"[(7, 20, 'STREET_NAME'), (24, 27, 'SUBURB')]"
How do I get to 948 WESTGATE  FWY?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
"Currently, I am on CL1227.","[(19, 25, 'STREET_NAME')]"
I am here at 821 BARKLY  ST.,"[(17, 27, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Can you guide me to 240 ISAACS  LANE, Cranbourne North?","[(24, 36, 'STREET_NAME'), (38, 54, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on HANOVER  ST.","[(19, 30, 'STREET_NAME')]"
I need to get here: 347 GIPPS  STREET.,"[(24, 37, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"Can you guide me to 113 NEILL  STREET, Doncaster?","[(24, 37, 'STREET_NAME'), (39, 48, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"I'm at 407 GRACIE  STREET, Kingsville.","[(11, 25, 'STREET_NAME'), (27, 37, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 37 PL5315.,"[(23, 29, 'STREET_NAME'), (20, 22, 'STREET_NUMBER')]"
I need to get here: 934 CONSTANCE STONE LANE.,"[(24, 44, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"Can you guide me to 329 EXPLORATION  LANE, Mount Dandenong?","[(24, 41, 'STREET_NAME'), (43, 58, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 288 THAW  LANE in Tally Ho.,"[(24, 34, 'STREET_NAME'), (38, 46, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
Where is 878 PL5003 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am here at 348 PL5192.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Can you guide me to 167 DORAN  ST, Monbulk?","[(24, 33, 'STREET_NAME'), (35, 42, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am trying to reach MOLESWORTH  STREET.,"[(21, 39, 'STREET_NAME')]"
I am here at 815 TYNE  STREET.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
Where is 933 SPRING  ST located?,"[(13, 23, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to go to Elsternwick.,"[(16, 27, 'SUBURB')]"
I’m at 878 TYNE  STREET.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Currently, I am on JOHNSTON  ST.","[(19, 31, 'STREET_NAME')]"
I'm on CL1752 in Notting Hill.,"[(7, 13, 'STREET_NAME'), (17, 29, 'SUBURB')]"
I am trying to reach TOM  THUMB  LANE.,"[(21, 37, 'STREET_NAME')]"
